LOCATION_CITY,SECTOR,CAPACITY_ACTUAL_ROOM,OCCUPIED_ROOMS
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,69,69
North York,Families,158,158
Etobicoke,Mixed Adult,148,148
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,62,62
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,51,51
Toronto,Families,20,20
Vaughan,Mixed Adult,63,60
Toronto,Families,32,32
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,270,270
Toronto,Men,47,47
Scarborough,Mixed Adult,315,315
Toronto,Mixed Adult,174,174
Toronto,Men,29,29
Toronto,Women,33,33
Toronto,Families,77,76
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,69,69
North York,Families,158,158
Etobicoke,Mixed Adult,148,148
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,62,62
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,51,51
Toronto,Families,20,20
Vaughan,Mixed Adult,63,60
Toronto,Families,33,32
Toronto,Mixed Adult,65,64
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,270,270
Toronto,Men,47,47
Scarborough,Mixed Adult,315,315
Toronto,Mixed Adult,174,174
Toronto,Men,29,29
Toronto,Women,33,33
Toronto,Families,77,76
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,69,69
North York,Families,157,157
Etobicoke,Mixed Adult,148,148
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,63,60
Toronto,Families,33,33
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,270,270
Toronto,Men,47,47
Scarborough,Mixed Adult,314,314
Toronto,Mixed Adult,174,174
Toronto,Men,29,29
Toronto,Women,33,33
Toronto,Families,77,75
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,69,69
North York,Families,156,156
Etobicoke,Mixed Adult,148,148
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,49,49
Toronto,Families,20,20
Vaughan,Mixed Adult,63,60
Toronto,Families,33,33
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,270,270
Toronto,Men,47,47
Scarborough,Mixed Adult,311,311
Toronto,Mixed Adult,174,174
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,77,76
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,69,69
North York,Families,156,156
Etobicoke,Mixed Adult,148,148
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,65,64
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,49,49
Toronto,Families,20,20
Vaughan,Mixed Adult,63,61
Toronto,Families,33,33
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,311,311
Toronto,Mixed Adult,174,174
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,77,76
Toronto,Families,27,27
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,68,68
North York,Families,156,156
Etobicoke,Mixed Adult,148,148
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,82
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,49,49
Toronto,Families,20,20
Vaughan,Mixed Adult,63,61
Toronto,Families,33,33
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,312,312
Toronto,Mixed Adult,174,174
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,77,76
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,27,26
Toronto,Families,148,146
Toronto,Mixed Adult,57,57
North York,Families,69,69
North York,Families,153,153
Etobicoke,Mixed Adult,147,147
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,46,46
Toronto,Families,20,20
Vaughan,Mixed Adult,63,59
Toronto,Families,33,32
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,271,271
Toronto,Men,47,47
Scarborough,Mixed Adult,310,310
Toronto,Mixed Adult,176,176
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,27,25
Toronto,Families,145,145
Toronto,Mixed Adult,57,57
North York,Families,69,69
North York,Families,153,153
Etobicoke,Mixed Adult,147,147
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,62,62
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,49,46
Toronto,Families,20,20
Vaughan,Mixed Adult,63,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,272,272
Toronto,Men,47,47
Scarborough,Mixed Adult,310,310
Toronto,Mixed Adult,176,176
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,146,145
Toronto,Mixed Adult,57,57
North York,Families,69,69
North York,Families,155,155
Etobicoke,Mixed Adult,147,147
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,83,81
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,46,45
Toronto,Families,19,19
Vaughan,Mixed Adult,63,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,273,273
Toronto,Men,47,47
Scarborough,Mixed Adult,308,308
Toronto,Mixed Adult,176,176
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,147,146
Toronto,Mixed Adult,57,57
North York,Families,71,71
North York,Families,153,153
Etobicoke,Mixed Adult,147,147
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,11,11
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,47,47
Toronto,Families,19,19
Vaughan,Mixed Adult,63,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,64
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,273,273
Toronto,Men,47,47
Scarborough,Mixed Adult,308,308
Toronto,Mixed Adult,176,176
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,77
Toronto,Families,27,27
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,145,145
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,153,153
Etobicoke,Mixed Adult,147,147
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,82,81
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,45,45
Toronto,Families,19,19
Vaughan,Mixed Adult,63,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,64
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,272,272
Toronto,Men,47,47
Scarborough,Mixed Adult,306,306
Toronto,Mixed Adult,176,176
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,148,147
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,155,155
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,47,45
Toronto,Families,19,19
Vaughan,Mixed Adult,62,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,64
Toronto,Mixed Adult,78,77
Scarborough,Youth,46,46
North York,Mixed Adult,273,272
Toronto,Men,47,47
Scarborough,Mixed Adult,303,303
Toronto,Mixed Adult,177,177
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,149
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,156,156
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,62
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,47,47
Toronto,Families,19,19
Vaughan,Mixed Adult,63,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,65
Toronto,Mixed Adult,76,76
Scarborough,Youth,46,46
North York,Mixed Adult,272,272
Toronto,Men,47,47
Scarborough,Mixed Adult,303,303
Toronto,Mixed Adult,176,176
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,77
Toronto,Families,27,27
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,147,147
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,70,70
North York,Families,155,155
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,63
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,102,102
Toronto,Families,46,46
Toronto,Families,47,47
Toronto,Families,20,20
Vaughan,Mixed Adult,63,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,64
Toronto,Mixed Adult,76,76
Scarborough,Youth,46,46
North York,Mixed Adult,271,271
Toronto,Men,47,47
Scarborough,Mixed Adult,303,303
Toronto,Mixed Adult,178,178
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,76
Toronto,Families,27,27
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,148,148
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,70,70
North York,Families,155,155
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,30,29
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,46,46
Toronto,Families,20,20
Vaughan,Mixed Adult,63,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,76,76
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,302,302
Toronto,Mixed Adult,178,178
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,76
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,149,149
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,70,70
North York,Families,155,155
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,30,29
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,46,46
Toronto,Families,20,20
Vaughan,Mixed Adult,63,57
Toronto,Families,33,33
Toronto,Mixed Adult,64,63
Toronto,Mixed Adult,76,76
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,302,302
Toronto,Mixed Adult,178,178
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,76
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,149,149
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,70,70
North York,Families,154,154
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,29,29
Toronto,Families,65,64
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,46,46
Toronto,Families,20,20
Vaughan,Mixed Adult,63,56
Toronto,Families,33,33
Toronto,Mixed Adult,64,63
Toronto,Mixed Adult,76,76
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,302,302
Toronto,Mixed Adult,181,181
Toronto,Men,29,29
Toronto,Women,33,33
Toronto,Families,78,75
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,70,70
North York,Families,153,153
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,29,29
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,83,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,102,102
Toronto,Families,46,46
Toronto,Families,47,47
Toronto,Families,20,20
Vaughan,Mixed Adult,63,56
Toronto,Families,33,33
Toronto,Mixed Adult,64,63
Toronto,Mixed Adult,76,76
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,301,301
Toronto,Mixed Adult,182,182
Toronto,Men,29,29
Toronto,Women,33,33
Toronto,Families,78,76
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,72,72
North York,Families,154,154
Etobicoke,Mixed Adult,148,148
Toronto,Men,39,39
Toronto,Families,29,29
Toronto,Families,64,63
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,49,48
Toronto,Families,20,20
Vaughan,Mixed Adult,57,56
Toronto,Families,33,33
Toronto,Mixed Adult,64,63
Toronto,Mixed Adult,76,76
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,301,301
Toronto,Mixed Adult,189,189
Toronto,Men,29,29
Toronto,Women,33,33
Toronto,Families,78,76
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,72,72
North York,Families,156,155
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,29,29
Toronto,Families,64,63
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,49,49
Toronto,Families,20,20
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,64,63
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,300,300
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,77
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,149,148
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,72,72
North York,Families,156,156
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,28,27
Toronto,Families,65,64
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,49,49
Toronto,Families,20,20
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,64,63
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,300,300
Toronto,Mixed Adult,188,188
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,147,146
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,156,156
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,28,27
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,47,46
Toronto,Families,49,49
Toronto,Families,20,20
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,64,62
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,299,299
Toronto,Mixed Adult,188,188
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,146,146
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,156,156
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,28,27
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,49,49
Toronto,Families,19,19
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,64,62
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,298,298
Toronto,Mixed Adult,188,188
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,147,147
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,155,155
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,29
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,82
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,48,48
Toronto,Families,18,18
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,64,62
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,298,298
Toronto,Mixed Adult,188,188
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,77
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,148,148
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,155,155
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,82
North York,Mixed Adult,14,14
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,49,49
Toronto,Families,18,18
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,63,62
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,297,297
Toronto,Mixed Adult,188,188
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,77
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,148,147
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,72,71
North York,Families,156,156
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,65,65
North York,Mixed Adult,11,11
North York,Mixed Adult,83,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,18,18
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,63,61
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,297,297
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,77
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,149,148
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,157,157
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,18,18
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,64,60
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,297,297
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,149
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,157,157
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,18,18
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,64,60
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,269,268
Toronto,Men,47,47
Scarborough,Mixed Adult,297,297
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Women,1,1
North York,Families,71,71
North York,Families,157,157
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,102,102
Toronto,Families,46,46
Toronto,Families,51,51
Toronto,Families,18,18
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,60
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,297,297
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,71,71
North York,Families,158,158
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,65,65
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,45
Toronto,Families,51,51
Toronto,Families,18,18
Vaughan,Mixed Adult,57,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,75,75
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,297,297
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,78,78
Toronto,Families,27,26
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
